139964	35.1359	68.1954
65120	34.9169	65.1952
284671	34.6353	68.0439
202029	33.4983	69.9799
294967	32.2363	61.9524
312515	35.5683	70.7832
197367	33.146	67.504
393290	29.2675	-0.954237
62880	36.1401	70.5931
184440	35.7208	70.3598
386340	30.1219	4.5658
335584	35.4059	71.3167
91798	32.0866	67.7965
312927	35.6457	70.9719
195088	35.1219	65.0909
202359	33.7791	67.7507
237988	31.4792	66.6873
448238	39.7539	20.0869
439981	40.7365	48.4946
130308	34.8721	69.1752
6685	24.4908	54.3708
68022	33.6945	66.5531
419179	38.8726	48.2467
198118	34.1399	63.7131
282749	34.3864	67.7769
353528	35.8133	0.751668
213458	35.4676	65.4897
12985	32.0333	62.0549
405181	36.7991	3.89046
412985	36.031	2.51737
292672	31.51	62.8686
295067	29.5146	62.9261
478107	39.9544	44.6023
327265	33.367	68.1383
247021	34.7653	71.2014
30059	32.9851	66.6761
146844	37.0614	69.5094
444387	39.6833	20.2294
173274	34.3687	66.5597
209722	33.344	67.3237
378752	23.6023	5.97262
66675	33.4801	66.0129
295231	33.9383	66.8482
470548	40.6867	45.1286
129527	33.9805	67.3269
240242	31.2823	67.0837
422833	39.4338	46.4875
367513	36.2465	1.62669
438405	40.5464	48.4271
369875	36.1167	1.6032
247747	31.729	67.9754
445088	40.2331	20.4444
187823	36.6747	65.5282
173987	33.6566	66.3886
150271	37.3043	70.4587
470570	40.9577	43.811
277440	34.1825	66.6594
113651	33.6598	68.1164
483556	40.3445	45.1195
432543	39.0417	46.0333
33700	32.4537	66.1087
283289	34.2026	69.2308
234675	34.4166	70.3224
18868	32.7922	67.6281
360480	36.0392	0.468322
231618	36.3333	71.101
291789	36.0332	66.2829
14385	31.6429	67.2205
425930	41.3793	48.6826
465061	41.1333	19.7833
466970	40.2264	19.7525
61668	35.2351	69.175
281661	34.4626	67.0773
269262	34.823	67.7821
39280	32.6093	61.3414
411187	36.3794	1.07903
259429	34.3227	66.0115
212035	35.0054	67.7539
35688	32.0908	66.7986
204896	33.3687	69.9301
331836	33.3231	64.0527
33357	32.3307	66.5311
157048	36.6141	69.8482
26720	33.6233	63.2586
207345	34.8255	70.0842
57241	35.0963	69.1577
247215	34.7056	71.071
484784	40.0125	44.4737
170893	31.671	65.6375
237832	31.3711	67.7705
424391	39.0373	48.811
204592	33.5989	67.3066
271046	34.16	66.6304
408988	36.0618	0.887981
466322	40.4094	19.3255
138587	34.2897	67.2591
390532	32.055	-0.729046
265173	34.75	69.119
395835	36.4253	8.30984
323523	34.5385	69.2419
480159	39.0737	46.4403
119790	33.2951	69.8923
385192	20.1333	6.16667
268882	34.4938	69.2743
138977	35.8498	66.9188
174395	35.3137	65.5105
429994	41.1928	46.6967
398405	36.5017	4.22757
136355	32.2206	67.229
